datetime,read_completed:sda(k),read_completed:sda1(k),read_completed:sda2(k),read_completed:sda3(k),read_completed:sda4(k),rx_bytes:eth0(M),tx_bytes:eth0(M),rx_bytes:eth1(M),tx_bytes:eth1(M),rx_bytes:lo(M),tx_bytes:lo(M)
2025-12-08_00:00:08,59,47,79,2,11,15592,1870,41922,107987,84,84
2025-12-08_00:00:38,59,47,79,2,11,15592,1870,41922,107987,84,84
2025-12-08_00:01:08,59,47,79,2,11,15592,1870,41922,107987,84,84
2025-12-08_00:01:38,59,47,79,2,11,15592,1870,41922,107987,84,84
2025-12-08_00:02:08,59,47,79,2,11,15592,1870,41922,107987,84,84
2025-12-08_00:02:38,59,47,79,2,11,15592,1870,41922,107987,84,84
2025-12-08_00:03:08,59,47,79,2,11,15592,1870,41922,107987,84,84
2025-12-08_00:03:38,59,47,79,2,11,15592,1870,41922,107987,84,84
2025-12-08_00:04:08,59,47,79,2,11,15592,1870,41922,107987,84,84
2025-12-08_00:04:38,59,47,79,2,11,15592,1870,41922,107987,84,84
2025-12-08_00:05:08,59,47,79,2,11,15592,1870,41922,107987,84,84
2025-12-08_00:05:38,59,47,79,2,11,15592,1870,41922,107987,84,84
2025-12-08_00:06:08,59,47,79,2,11,15592,1870,41922,107987,84,84
2025-12-08_00:06:38,59,47,79,2,11,15592,1870,41922,107987,84,84
2025-12-08_00:07:08,59,47,79,2,11,15592,1870,41922,107987,84,84
2025-12-08_00:07:38,59,47,79,2,11,15592,1870,41922,107987,84,84
2025-12-08_00:08:08,59,47,79,2,11,15592,1870,41922,107987,84,84
2025-12-08_00:08:38,59,47,79,2,11,15592,1870,41922,107987,84,84
2025-12-08_00:09:08,59,47,79,2,11,15592,1870,41922,107987,84,84
2025-12-08_00:09:38,59,47,79,2,11,15592,1870,41923,107987,84,84
2025-12-08_00:10:08,59,47,79,2,11,15592,1870,41923,107987,84,84
2025-12-08_00:10:38,59,47,79,2,11,15592,1870,41923,107987,84,84
2025-12-08_00:11:08,59,47,79,2,11,15592,1870,41923,107987,84,84
2025-12-08_00:11:38,59,47,79,2,11,15592,1870,41923,107987,84,84
2025-12-08_00:12:08,59,47,79,2,11,15592,1870,41923,107987,84,84
2025-12-08_00:12:38,59,47,79,2,11,15592,1870,41923,107987,84,84
2025-12-08_00:13:08,59,47,79,2,11,15592,1870,41923,107987,84,84
2025-12-08_00:13:38,59,47,79,2,11,15592,1870,41923,107987,84,84
2025-12-08_00:14:08,59,47,79,2,11,15592,1870,41923,107987,84,84
2025-12-08_00:14:38,59,47,79,2,11,15592,1870,41923,107987,84,84
2025-12-08_00:15:08,59,47,79,2,11,15592,1870,41923,107987,84,84
2025-12-08_00:15:38,59,47,79,2,11,15592,1870,41923,107987,84,84
2025-12-08_00:16:08,59,47,79,2,11,15592,1870,41923,107987,84,84
2025-12-08_00:16:38,59,47,79,2,11,15592,1870,41923,107987,84,84
2025-12-08_00:17:08,59,47,79,2,11,15592,1870,41923,107987,84,84
2025-12-08_00:17:38,59,47,79,2,11,15592,1870,41923,107987,84,84
2025-12-08_00:18:08,59,47,79,2,11,15592,1870,41923,107987,84,84
2025-12-08_00:18:38,59,47,79,2,11,15592,1870,41923,107987,84,84
2025-12-08_00:19:08,59,47,79,2,11,15592,1870,41923,107987,84,84
2025-12-08_00:19:38,59,47,79,2,11,15592,1870,41923,107987,84,84
2025-12-08_00:20:08,59,47,79,2,11,15593,1870,41923,107987,84,84
2025-12-08_00:20:38,59,47,79,2,11,15593,1870,41923,107987,84,84
2025-12-08_00:21:08,59,47,79,2,11,15593,1870,41923,107987,84,84
2025-12-08_00:21:38,59,47,79,2,11,15593,1870,41923,107987,84,84
2025-12-08_00:22:08,59,47,79,2,11,15593,1870,41923,107987,84,84
2025-12-08_00:22:38,59,47,79,2,11,15593,1870,41923,107987,84,84
2025-12-08_00:23:08,59,47,79,2,11,15593,1870,41923,107987,84,84
2025-12-08_00:23:38,59,47,79,2,11,15593,1870,41923,107987,84,84
2025-12-08_00:24:08,59,47,79,2,11,15593,1870,41923,107987,84,84
2025-12-08_00:24:38,59,47,79,2,11,15593,1871,41923,107987,84,84
2025-12-08_00:25:08,59,47,79,2,11,15593,1871,41923,107987,84,84
2025-12-08_00:25:38,59,47,79,2,11,15593,1871,41923,107987,84,84
