datetime,read_completed:sda(k),read_completed:sda1(k),read_completed:sda2(k),read_completed:sda3(k),read_completed:sda4(k),rx_bytes:eth0(M),tx_bytes:eth0(M),rx_bytes:eth1(M),tx_bytes:eth1(M),rx_bytes:lo(M),tx_bytes:lo(M)
2025-12-06_00:00:08,59,47,79,2,11,15537,1863,41788,107943,83,83
2025-12-06_00:00:38,59,47,79,2,11,15537,1863,41788,107943,83,83
2025-12-06_00:01:08,59,47,79,2,11,15537,1863,41788,107943,83,83
2025-12-06_00:01:38,59,47,79,2,11,15537,1863,41788,107943,83,83
2025-12-06_00:02:08,59,47,79,2,11,15537,1863,41788,107943,83,83
2025-12-06_00:02:38,59,47,79,2,11,15537,1863,41788,107943,83,83
2025-12-06_00:03:08,59,47,79,2,11,15537,1863,41788,107943,83,83
2025-12-06_00:03:38,59,47,79,2,11,15537,1863,41788,107943,83,83
2025-12-06_00:04:08,59,47,79,2,11,15537,1863,41789,107943,83,83
2025-12-06_00:04:38,59,47,79,2,11,15537,1863,41789,107943,83,83
2025-12-06_00:05:08,59,47,79,2,11,15537,1863,41789,107943,83,83
2025-12-06_00:05:38,59,47,79,2,11,15537,1863,41789,107943,83,83
2025-12-06_00:06:08,59,47,79,2,11,15537,1863,41789,107943,83,83
2025-12-06_00:06:38,59,47,79,2,11,15537,1863,41789,107943,83,83
2025-12-06_00:07:08,59,47,79,2,11,15537,1863,41789,107943,83,83
2025-12-06_00:07:38,59,47,79,2,11,15537,1863,41789,107943,83,83
2025-12-06_00:08:08,59,47,79,2,11,15537,1863,41789,107943,83,83
2025-12-06_00:08:38,59,47,79,2,11,15537,1863,41789,107943,83,83
2025-12-06_00:09:08,59,47,79,2,11,15537,1863,41789,107943,83,83
2025-12-06_00:09:38,59,47,79,2,11,15537,1863,41789,107943,83,83
2025-12-06_00:10:08,59,47,79,2,11,15537,1863,41789,107943,83,83
2025-12-06_00:10:38,59,47,79,2,11,15537,1863,41789,107943,83,83
2025-12-06_00:11:08,59,47,79,2,11,15537,1863,41789,107943,83,83
2025-12-06_00:11:38,59,47,79,2,11,15537,1863,41789,107943,83,83
2025-12-06_00:12:08,59,47,79,2,11,15537,1863,41789,107943,83,83
2025-12-06_00:12:38,59,47,79,2,11,15537,1863,41789,107943,83,83
2025-12-06_00:13:08,59,47,79,2,11,15537,1863,41789,107943,83,83
2025-12-06_00:13:38,59,47,79,2,11,15537,1863,41789,107943,83,83
2025-12-06_00:14:08,59,47,79,2,11,15537,1863,41789,107943,83,83
2025-12-06_00:14:38,59,47,79,2,11,15537,1863,41789,107943,83,83
2025-12-06_00:15:08,59,47,79,2,11,15537,1863,41789,107943,83,83
2025-12-06_00:15:38,59,47,79,2,11,15537,1863,41789,107944,83,83
